Label,NodeID,Recente,Ancienne,periode
0,s1_f1,nan,0.5,1
0.4,s1_f2,nan,0.5,1
1,s1_h1,nan,0.5,1
1,s1_h2,nan,0.5,1
1,s2_f1,nan,0.5,1
1,s2_f2,nan,0.5,1
1,s2_h1,nan,0.5,1
1,s2_h2,nan,0.5,1
1,s3_f1,nan,0.5,1
1,s3_f2,nan,0.5,1
0.2,s3_h1,nan,0.5,1
1,s3_h2,nan,0.5,1
1,s4_f1,nan,0.5,1
1,s4_f2,nan,0.5,1
1,s4_h1,nan,0.5,1
0.6,s4_h2,nan,0.5,1
0.2,s1_f3,nan,0.5,1
1,s1_h3,nan,0.5,1
0,s1_h4,nan,0.5,1
1,s2_f3,nan,0.5,1
1,s2_h3,nan,0.5,1
1,s2_h4,nan,0.5,1
1,s3_f3,nan,0.5,1
1,s3_h3,nan,0.5,1
1,s3_h4,nan,0.5,1
1,s4_f3,nan,0.5,1
0.4,s4_h3,nan,0.5,1
1,s4_h4,nan,0.5,1
0.6,s1_f4,nan,0.5,1
1,s1_h5,nan,0.5,1
1,s2_f4,nan,0.5,1
1,s2_h5,nan,0.5,1
1,s3_f4,nan,0.5,1
1,s3_h5,nan,0.5,1
1,s4_f4,nan,0.5,1
0.2,s4_h5,nan,0.5,1
0.6,s1_f5,nan,0.5,1
1,s2_f5,nan,0.5,1
1,s3_f5,nan,0.5,1
1,s4_f5,nan,0.5,1
1,s1_f1,0,0.5,2
0.6,s1_f2,0.322269,0.5,2
1,s1_h1,0.995114,0.5,2
1,s1_h2,0.999297,0.5,2
1,s2_f1,0.997247,0.5,2
1,s2_f2,0.99633,0.5,2
1,s2_h1,0.996628,0.5,2
1,s2_h2,0.999297,0.5,2
1,s3_f1,0.997247,0.5,2
1,s3_f2,0.999082,0.5,2
1,s3_h1,0.478073,0.5,2
1,s3_h2,0.991038,0.5,2
1,s4_f1,1,0.5,2
1,s4_f2,0.995412,0.5,2
0.4,s4_h1,0.995114,0.5,2
1,s4_h2,0.701065,0.5,2
1,s1_f3,0.261524,0.5,2
1,s1_h3,0.99633,0.5,2
1,s1_h4,0,0.5,2
1,s2_f3,0.998165,0.5,2
1,s2_h3,0.998165,0.5,2
1,s2_h4,1,0.5,2
1,s3_f3,0.999082,0.5,2
1,s3_h3,0.998165,0.5,2
1,s3_h4,0.991742,0.5,2
1,s4_f3,0.999082,0.5,2
1,s4_h3,0.324104,0.5,2
1,s4_h4,1,0.5,2
1,s1_f4,0.701065,0.5,2
1,s1_h5,0.999082,0.5,2
1,s2_f4,0.991038,0.5,2
1,s2_h5,0.998165,0.5,2
0.4,s3_f4,0.999297,0.5,2
1,s3_h5,0.999082,0.5,2
1,s4_f4,0.999297,0.5,2
0.4,s4_h5,0.474105,0.5,2
1,s1_f5,0.700201,0.5,2
1,s2_f5,0.997087,0.5,2
0,s3_f5,0.997408,0.5,2
1,s4_f5,0.997408,0.5,2
1,s1_f1,0.995871,0.290382,3
0,s1_f2,0.701096,0.425489,3
0,s1_h1,0.99633,0.707569,3
0,s1_h2,0.999082,0.709323,3
1,s2_f1,0.995871,0.708464,3
1,s2_f2,0.995871,0.708079,3
1,s2_h1,0.995412,0.708204,3
1,s2_h2,0.999082,0.709323,3
1,s3_f1,0.998624,0.708464,3
1,s3_f2,0.998624,0.709233,3
1,s3_h1,0.999082,0.490808,3
1,s3_h2,0.992659,0.705861,3
1,s4_f1,0.998624,0.709618,3
1,s4_f2,0.995871,0.707694,3
1,s4_h1,0.291002,0.707569,3
1,s4_h2,0.998165,0.584294,3
1,s1_f3,0.993577,0.400022,3
0.2,s1_h3,0.996559,0.708079,3
0.6,s1_h4,0.997935,0.290382,3
1,s2_f3,0.998165,0.708849,3
1,s2_h3,0.997935,0.708849,3
1,s2_h4,0.996559,0.709618,3
1,s3_f3,0.999082,0.709233,3
1,s3_h3,0.997935,0.708849,3
1,s3_h4,0.995183,0.706156,3
1,s4_f3,0.999082,0.709233,3
1,s4_h3,0.999312,0.426258,3
1,s4_h4,0.996559,0.709618,3
0.4,s1_f4,0.999082,0.584294,3
0.4,s1_h5,0.999082,0.709233,3
1,s2_f4,0.995412,0.705861,3
1,s2_h5,0.998165,0.708849,3
1,s3_f4,0.424371,0.709323,3
1,s3_h5,0.999082,0.709233,3
1,s4_f4,0.99633,0.709323,3
1,s4_h5,0.395238,0.489144,3
1,s1_f5,0.998165,0.583931,3
1,s2_f5,0.99633,0.708397,3
1,s3_f5,0.0904807,0.708531,3
0.6,s4_f5,0.998165,0.708531,3
0.6,s1_f1,0.995871,0.586148,4
0,s1_f2,0.261524,0.541033,4
1,s1_h1,0,0.828628,4
