Label,NodeID,knowledge,experiance,periode
0,s1_f1,0,0.5,1
0.4,s1_f2,0.322269,0.5,1
1,s1_h1,0.995114,0.5,1
1,s1_h2,0.999297,0.5,1
1,s2_f1,0.997247,0.5,1
1,s2_f2,0.99633,0.5,1
1,s2_h1,0.996628,0.5,1
1,s2_h2,0.999297,0.5,1
1,s3_f1,0.997247,0.5,1
1,s3_f2,0.999082,0.5,1
0.2,s3_h1,0.478073,0.5,1
1,s3_h2,0.991038,0.5,1
1,s4_f1,1,0.5,1
1,s4_f2,0.995412,0.5,1
1,s4_h1,0.995114,0.5,1
0.6,s4_h2,0.701065,0.5,1
0.2,s1_f3,0.261524,0.5,1
1,s1_h3,0.99633,0.5,1
0,s1_h4,0,0.5,1
1,s2_f3,0.998165,0.5,1
1,s2_h3,0.998165,0.5,1
1,s2_h4,1,0.5,1
1,s3_f3,0.999082,0.5,1
1,s3_h3,0.998165,0.5,1
1,s3_h4,0.991742,0.5,1
1,s4_f3,0.999082,0.5,1
0.4,s4_h3,0.324104,0.5,1
1,s4_h4,1,0.5,1
0.6,s1_f4,0.701065,0.5,1
1,s1_h5,0.999082,0.5,1
1,s2_f4,0.991038,0.5,1
1,s2_h5,0.998165,0.5,1
1,s3_f4,0.999297,0.5,1
1,s3_h5,0.999082,0.5,1
1,s4_f4,0.999297,0.5,1
0.2,s4_h5,0.474105,0.5,1
0.6,s1_f5,0.700201,0.5,1
1,s2_f5,0.997087,0.5,1
1,s3_f5,0.997408,0.5,1
1,s4_f5,0.997408,0.5,1
1,s1_f1,0.995871,0.290382,2
0.6,s1_f2,0.701096,0.425489,2
1,s1_h1,0.99633,0.707569,2
1,s1_h2,0.999082,0.709323,2
1,s2_f1,0.995871,0.708464,2
1,s2_f2,0.995871,0.708079,2
1,s2_h1,0.995412,0.708204,2
1,s2_h2,0.999082,0.709323,2
1,s3_f1,0.998624,0.708464,2
1,s3_f2,0.998624,0.709233,2
1,s3_h1,0.999082,0.490808,2
1,s3_h2,0.992659,0.705861,2
1,s4_f1,0.998624,0.709618,2
1,s4_f2,0.995871,0.707694,2
0.4,s4_h1,0.291002,0.707569,2
1,s4_h2,0.998165,0.584294,2
1,s1_f3,0.993577,0.400022,2
1,s1_h3,0.996559,0.708079,2
1,s1_h4,0.997935,0.290382,2
1,s2_f3,0.998165,0.708849,2
1,s2_h3,0.997935,0.708849,2
1,s2_h4,0.996559,0.709618,2
1,s3_f3,0.999082,0.709233,2
1,s3_h3,0.997935,0.708849,2
1,s3_h4,0.995183,0.706156,2
1,s4_f3,0.999082,0.709233,2
1,s4_h3,0.999312,0.426258,2
1,s4_h4,0.996559,0.709618,2
1,s1_f4,0.999082,0.584294,2
1,s1_h5,0.999082,0.709233,2
1,s2_f4,0.995412,0.705861,2
1,s2_h5,0.998165,0.708849,2
0.4,s3_f4,0.424371,0.709323,2
1,s3_h5,0.999082,0.709233,2
1,s4_f4,0.99633,0.709323,2
0.4,s4_h5,0.395238,0.489144,2
1,s1_f5,0.998165,0.583931,2
1,s2_f5,0.99633,0.708397,2
0,s3_f5,0.0904807,0.708531,2
1,s4_f5,0.998165,0.708531,2
1,s1_f1,0.995871,0.586148,3
0,s1_f2,0.261524,0.541033,3
0,s1_h1,0,0.828628,3
0,s1_h2,0.261524,0.8308,3
1,s2_f1,0.995871,0.828955,3
1,s2_f2,0.99633,0.828732,3
1,s2_h1,0.995412,0.828612,3
1,s2_h2,0.99633,0.8308,3
1,s3_f1,0.998624,0.830109,3
1,s3_f2,0.999082,0.830556,3
1,s3_h1,0.999082,0.703895,3
1,s3_h2,0.995412,0.826097,3
1,s4_f1,0.998624,0.830779,3
1,s4_f2,0.995412,0.828508,3
1,s4_h1,0.99633,0.532929,3
1,s4_h2,0.999082,0.757803,3
1,s1_f3,0.993577,0.648862,3
0.2,s1_h3,0.26336,0.82902,3
0.6,s1_h4,0.504455,0.587014,3
1,s2_f3,0.998165,0.83014,3
1,s2_h3,0.999082,0.830044,3
1,s2_h4,0.997247,0.829914,3
1,s3_f3,0.999082,0.830748,3
1,s3_h3,0.999082,0.830044,3
1,s3_h4,0.994494,0.827326,3
1,s4_f3,0.999082,0.830748,3
1,s4_h3,0.998165,0.666503,3
1,s4_h4,0.997247,0.829914,3
0.4,s1_f4,0.516567,0.758188,3
0.4,s1_h5,0.402418,0.830748,3
1,s2_f4,0.994494,0.827251,3
1,s2_h5,0.999082,0.83014,3
1,s3_f4,0.997247,0.589861,3
1,s3_h5,0.998165,0.830748,3
1,s4_f4,0.997247,0.829646,3
1,s4_h5,0.999082,0.449775,3
1,s1_f5,0.997431,0.757593,3
1,s2_f5,0.997064,0.829108,3
1,s3_f5,0.997431,0.449422,3
0.6,s4_f5,0.70027,0.829956,3
0.6,s1_f1,0.701921,0.757919,4
0,s1_f2,0,0.423853,4
1,s1_h1,0.997247,0.481238,4
1,s1_h2,0.999082,0.59214,4
1,s2_f1,0.997064,0.898932,4
1,s2_f2,0.99633,0.898995,4
1,s2_h1,0.994494,0.898541,4
1,s2_h2,0.999082,0.900196,4
1,s3_f1,0.997431,0.900756,4
1,s3_f2,0.999082,0.901208,4
0,s3_h1,0.261524,0.827648,4
1,s3_h2,0.992659,0.89708,4
1,s4_f1,0.999816,0.901146,4
1,s4_f2,0.995412,0.89848,4
1,s4_h1,0.997247,0.727203,4
1,s4_h2,0.998165,0.858956,4
0,s1_f3,0.261524,0.793379,4
0,s1_h3,0,0.591875,4
1,s1_h4,0.997935,0.552402,4
1,s2_f3,0.998165,0.900582,4
1,s2_h3,1,0.900911,4
1,s2_h4,0.996559,0.900066,4
1,s3_f3,0.999082,0.90132,4
1,s3_h3,1,0.900911,4
1,s3_h4,0.995183,0.897409,4
1,s4_f3,0.999082,0.90132,4
1,s4_h3,0.997247,0.805547,4
1,s4_h4,0.996559,0.900066,4
0.6,s1_f4,0.701249,0.656892,4
0.6,s1_h5,0.70027,0.651177,4
1,s2_f4,0.992353,0.897365,4
1,s2_h5,0.999816,0.900967,4
1,s3_f4,0.999388,0.760652,4
1,s3_h5,0.997431,0.900935,4
1,s4_f4,0.999388,0.899911,4
1,s4_h5,0.999816,0.680064,4
1,s1_f5,1,0.858141,4
1,s2_f5,0.994494,0.899521,4
1,s3_f5,1,0.679167,4
1,s4_f5,1,0.775587,4
0,s1_f1,0,0.734443,5
1,s1_f2,0.997247,0.246159,5
1,s1_h1,0.997247,0.697567,5
0,s1_h2,0,0.762745,5
1,s2_f1,0.997247,0.940072,5
1,s2_f2,0.994494,0.939801,5
1,s2_h1,0.994494,0.938768,5
1,s2_h2,0.99633,0.941653,5
1,s3_f1,0.997247,0.941286,5
0,s3_f2,0.0774968,0.942241,5
0,s3_h1,0.261524,0.590309,5
1,s3_h2,0.995412,0.93715,5
1,s4_f1,1,0.942512,5
1,s4_f2,0.997247,0.939118,5
1,s4_h1,0.997247,0.840415,5
1,s4_h2,0.999082,0.917317,5
0,s1_f3,0,0.570406,5
0,s1_h3,0.265562,0.34374,5
1,s1_h4,0.999082,0.739186,5
1,s2_f3,0.997247,0.941492,5
1,s2_h3,0.999082,0.942453,5
0,s2_h4,0,0.940519,5
1,s3_f3,1,0.942306,5
1,s3_h3,0.999082,0.942453,5
1,s3_h4,0.99633,0.938399,5
1,s4_f3,1,0.942306,5
1,s4_h3,0.998165,0.885915,5
1,s4_h4,0.995412,0.940519,5
1,s1_f4,0.999082,0.675488,5
0,s1_h5,0,0.671758,5
1,s2_f4,0.995412,0.937188,5
1,s2_h5,1,0.942408,5
1,s3_f4,0.99633,0.860739,5
1,s3_h5,0.997247,0.94139,5
0,s4_f4,0.271067,0.941615,5
1,s4_h5,1,0.814116,5
0,s1_f5,0,0.917614,5
1,s2_f5,0.994494,0.939337,5
1,s3_f5,1,0.813672,5
1,s4_f5,1,0.869669,5
1,s1_f1,0.995412,0.426538,6
0,s1_f2,0,0.561042,6
1,s1_h1,1,0.823204,6
1,s1_h2,0.999725,0.442975,6
1,s2_f1,0.99633,0.964042,6
1,s2_f2,0.99633,0.96273,6
