Label,NodeID,knowledge,experiance,periode
0,s1_f1,0.0774968,0.5,1
0.2,s1_f2,0.261524,0.5,1
0.4,s1_h1,0.281367,0.5,1
0,s1_h2,0,0.5,1
1,s2_f1,0.999082,0.5,1
1,s2_f2,0.999082,0.5,1
1,s2_h1,0.995412,0.5,1
1,s2_h2,0.99633,0.5,1
1,s3_f1,0.998165,0.5,1
1,s3_f2,0.999082,0.5,1
1,s3_h1,0.999082,0.5,1
1,s3_h2,0.995412,0.5,1
1,s4_f1,0.999082,0.5,1
1,s4_f2,0.998165,0.5,1
1,s4_h1,0.99633,0.5,1
1,s4_h2,0.999082,0.5,1
0,s1_f3,0.261524,0.5,1
0.2,s1_h3,0.261524,0.5,1
1,s1_h4,0.999082,0.5,1
1,s2_f3,0.995412,0.5,1
1,s2_h3,0.99633,0.5,1
1,s2_h4,0.999082,0.5,1
1,s3_f3,0.99633,0.5,1
1,s3_h3,0.998165,0.5,1
1,s3_h4,0.998165,0.5,1
1,s4_f3,0.999082,0.5,1
1,s4_h3,0.998165,0.5,1
1,s4_h4,0.993577,0.5,1
0.2,s1_f4,0.261524,0.5,1
1,s1_h5,0.997247,0.5,1
1,s2_f4,0.998165,0.5,1
0.4,s2_h5,0.292837,0.5,1
1,s3_f4,0.99633,0.5,1
1,s3_h5,1,0.5,1
1,s4_f4,0.998165,0.5,1
1,s4_h5,0.997247,0.5,1
0,s1_f5,0.261524,0.5,1
1,s2_f5,0.999082,0.5,1
1,s3_f5,0.999082,0.5,1
1,s4_f5,0.998165,0.5,1
1,s1_f1,1,0.322872,2
0,s1_f2,0.261524,0.400022,2
0,s1_h1,0.261524,0.408341,2
0,s1_h2,0,0.290382,2
1,s2_f1,1,0.709233,2
1,s2_f2,0.999082,0.709233,2
1,s2_h1,0.998624,0.707694,2
1,s2_h2,0.99633,0.708079,2
0,s3_f1,0,0.708849,2
1,s3_f2,0.999082,0.709233,2
1,s3_h1,0.999725,0.709233,2
1,s3_h2,0.995412,0.707694,2
1,s4_f1,1,0.709233,2
1,s4_f2,0.998165,0.708849,2
1,s4_h1,0.998899,0.708079,2
1,s4_h2,0.999082,0.709233,2
0,s1_f3,0.261524,0.400022,2
0.6,s1_h3,0.498307,0.400022,2
1,s1_h4,1,0.709233,2
1,s2_f3,0.995412,0.707694,2
1,s2_h3,0.99633,0.708079,2
1,s2_h4,1,0.709233,2
1,s3_f3,0.99633,0.708079,2
1,s3_h3,0.998165,0.708849,2
1,s3_h4,0.997247,0.708849,2
1,s4_f3,0.999082,0.709233,2
1,s4_h3,0.998165,0.708849,2
0,s4_h4,0,0.706925,2
0,s1_f4,0,0.400022,2
0.6,s1_h5,0.495004,0.708464,2
1,s2_f4,1,0.708849,2
1,s2_h5,0.999082,0.41315,2
1,s3_f4,0.994494,0.708079,2
1,s3_h5,0.998165,0.709618,2
1,s4_f4,1,0.708849,2
1,s4_h5,0.999082,0.708464,2
1,s1_f5,0.997247,0.400022,2
1,s2_f5,1,0.709233,2
1,s3_f5,1,0.709233,2
0,s4_f5,0,0.708849,2
1,s1_f1,1,0.606748,3
1,s1_f2,1,0.341959,3
0,s1_h1,0.261524,0.34679,3
1,s1_h2,0.999082,0.168644,3
1,s2_f1,1,0.831133,3
1,s2_f2,1,0.830748,3
1,s2_h1,1,0.829662,3
1,s2_h2,0.998165,0.828924,3
1,s3_f1,0.998073,0.411674,3
1,s3_f2,1,0.830748,3
1,s3_h1,1,0.831018,3
1,s3_h2,0.993577,0.828316,3
1,s4_f1,1,0.831133,3
1,s4_f2,0.997247,0.83014,3
1,s4_h1,1,0.830001,3
1,s4_h2,0.999082,0.830748,3
1,s1_f3,0.999082,0.341959,3
1,s1_h3,0.999312,0.441227,3
1,s1_h4,0.999082,0.831133,3
1,s2_f3,0.993577,0.828316,3
1,s2_h3,0.996559,0.828924,3
1,s2_h4,0.999082,0.831133,3
1,s3_f3,0.998165,0.828924,3
1,s3_h3,0.997935,0.83014,3
