Label,NodeID,Recente,Ancienne,periode
1,s1_f1,nan,0.5,1
1,s1_f2,nan,0.5,1
1,s1_h1,nan,0.5,1
1,s1_h2,nan,0.5,1
1,s2_f1,nan,0.5,1
1,s2_f2,nan,0.5,1
1,s2_h1,nan,0.5,1
1,s2_h2,nan,0.5,1
1,s3_f1,nan,0.5,1
1,s3_f2,nan,0.5,1
1,s3_h1,nan,0.5,1
1,s3_h2,nan,0.5,1
1,s4_f1,nan,0.5,1
1,s4_f2,nan,0.5,1
1,s4_h1,nan,0.5,1
1,s4_h2,nan,0.5,1
1,s1_f3,nan,0.5,1
1,s1_h3,nan,0.5,1
1,s1_h4,nan,0.5,1
1,s2_f3,nan,0.5,1
1,s2_h3,nan,0.5,1
1,s2_h4,nan,0.5,1
1,s3_f3,nan,0.5,1
1,s3_h3,nan,0.5,1
1,s3_h4,nan,0.5,1
1,s4_f3,nan,0.5,1
1,s4_h3,nan,0.5,1
1,s4_h4,nan,0.5,1
1,s1_f4,nan,0.5,1
1,s1_h5,nan,0.5,1
1,s2_f4,nan,0.5,1
1,s2_h5,nan,0.5,1
0.2,s3_f4,nan,0.5,1
1,s3_h5,nan,0.5,1
1,s4_f4,nan,0.5,1
1,s4_h5,nan,0.5,1
1,s1_f5,nan,0.5,1
1,s2_f5,nan,0.5,1
1,s3_f5,nan,0.5,1
1,s4_f5,nan,0.5,1
1,s1_f1,1,0.5,2
1,s1_f2,1,0.5,2
1,s1_h1,0.999082,0.5,2
1,s1_h2,0.999082,0.5,2
1,s2_f1,1,0.5,2
1,s2_f2,1,0.5,2
1,s2_h1,0.992659,0.5,2
1,s2_h2,0.998165,0.5,2
1,s3_f1,0.997247,0.5,2
1,s3_f2,1,0.5,2
0,s3_h1,0.998165,0.5,2
0.2,s3_h2,0.993577,0.5,2
1,s4_f1,1,0.5,2
1,s4_f2,0.997247,0.5,2
1,s4_h1,0.999082,0.5,2
1,s4_h2,0.999082,0.5,2
1,s1_f3,0.999082,0.5,2
0,s1_h3,0.999312,0.5,2
1,s1_h4,0.999082,0.5,2
1,s2_f3,0.993577,0.5,2
1,s2_h3,0.996559,0.5,2
1,s2_h4,0.999082,0.5,2
1,s3_f3,0.998165,0.5,2
1,s3_h3,0.997935,0.5,2
1,s3_h4,0.998165,0.5,2
1,s4_f3,0.999082,0.5,2
1,s4_h3,0.997935,0.5,2
1,s4_h4,0.993577,0.5,2
0.2,s1_f4,1,0.5,2
1,s1_h5,0.996559,0.5,2
1,s2_f4,1,0.5,2
1,s2_h5,0.997935,0.5,2
1,s3_f4,0.261524,0.5,2
0,s3_h5,0.999312,0.5,2
1,s4_f4,1,0.5,2
1,s4_h5,0.997935,0.5,2
1,s1_f5,0.998624,0.5,2
1,s2_f5,0.998624,0.5,2
1,s3_f5,0.998624,0.5,2
1,s4_f5,0.998624,0.5,2
1,s1_f1,1,0.709618,3
1,s1_f2,1,0.709618,3
1,s1_h1,1,0.709233,3
1,s1_h2,0.999862,0.709233,3
0.2,s2_f1,1,0.709618,3
1,s2_f2,1,0.709618,3
1,s2_h1,0.994494,0.70654,3
1,s2_h2,0.99711,0.708849,3
1,s3_f1,0.997247,0.708464,3
1,s3_f2,1,0.709618,3
1,s3_h1,0,0.708849,3
1,s3_h2,0.481308,0.706925,3
1,s4_f1,1,0.709618,3
1,s4_f2,0.997247,0.708464,3
1,s4_h1,1,0.709233,3
1,s4_h2,0.999862,0.709233,3
1,s1_f3,0.999082,0.709233,3
0,s1_h3,0.261524,0.709329,3
0.6,s1_h4,0.999082,0.709233,3
1,s2_f3,0.993577,0.706925,3
1,s2_h3,0.99633,0.708175,3
1,s2_h4,0.999082,0.709233,3
1,s3_f3,0.998165,0.708849,3
1,s3_h3,0.998165,0.708752,3
1,s3_h4,0.998165,0.708849,3
1,s4_f3,0.999082,0.709233,3
1,s4_h3,0.998165,0.708752,3
1,s4_h4,0.993577,0.706925,3
0,s1_f4,0.261524,0.709618,3
1,s1_h5,0.994494,0.708175,3
1,s2_f4,0.998165,0.709618,3
1,s2_h5,1,0.708752,3
1,s3_f4,0.99633,0.400022,3
1,s3_h5,0,0.709329,3
1,s4_f4,0.998165,0.709618,3
1,s4_h5,1,0.708752,3
1,s1_f5,0.998624,0.709041,3
1,s2_f5,0.998624,0.709041,3
1,s3_f5,0.998624,0.709041,3
1,s4_f5,0.998624,0.709041,3
1,s1_f1,0.999862,0.831356,4
1,s1_f2,1,0.831356,4
1,s1_h1,1,0.831133,4
0.6,s1_h2,0.999082,0.831075,4
1,s2_f1,0.481308,0.831356,4
1,s2_f2,1,0.831356,4
1,s2_h1,0.997247,0.827261,4
1,s2_h2,0.998165,0.829698,4
1,s3_f1,0.99711,0.829532,4
