Label,NodeID,network_behaviour,data_collection_behaviour,Reward_punishment,periode
1,s1_f1,1,1,1,1
1,s1_f2,1,1,1,1
1,s1_h1,1,0.993333,1,1
1,s1_h2,1,0.993333,1,1
1,s2_f1,1,1,1,1
1,s2_f2,1,1,1,1
1,s2_h1,1,0.946667,1,1
1,s2_h2,1,0.986667,1,1
1,s3_f1,1,0.98,1,1
1,s3_f2,1,1,1,1
1,s3_h1,1,0.986667,1,1
1,s3_h2,1,0.953333,1,1
1,s4_f1,1,1,1,1
1,s4_f2,1,0.98,1,1
1,s4_h1,1,0.993333,1,1
1,s4_h2,1,0.993333,1,1
1,s1_f3,1,0.993333,1,1
1,s1_h3,1,0.995,1,1
1,s1_h4,1,0.993333,1,1
1,s2_f3,1,0.953333,1,1
1,s2_h3,1,0.975,1,1
1,s2_h4,1,0.993333,1,1
1,s3_f3,1,0.986667,1,1
1,s3_h3,1,0.985,1,1
1,s3_h4,1,0.986667,1,1
1,s4_f3,1,0.993333,1,1
1,s4_h3,1,0.985,1,1
1,s4_h4,1,0.953333,1,1
1,s1_f4,1,1,1,1
1,s1_h5,1,0.975,1,1
1,s2_f4,1,1,1,1
1,s2_h5,1,0.985,1,1
1,s3_f4,1,0.96,1,1
1,s3_h5,1,0.995,1,1
1,s4_f4,1,1,1,1
1,s4_h5,1,0.985,1,1
1,s1_f5,1,0.99,1,1
1,s2_f5,1,0.99,1,1
1,s3_f5,1,0.99,1,1
1,s4_f5,1,0.99,1,1
1,s1_f1,1,1,1,2
1,s1_f2,1,1,1,2
1,s1_h1,1,0.993333,1,2
1,s1_h2,1,0.993333,1,2
1,s2_f1,1,1,1,2
1,s2_f2,1,1,1,2
1,s2_h1,1,0.946667,1,2
1,s2_h2,1,0.986667,1,2
1,s3_f1,1,0.98,1,2
1,s3_f2,1,1,1,2
1,s3_h1,1,0.986667,1,2
1,s3_h2,1,0.953333,1,2
1,s4_f1,1,1,1,2
1,s4_f2,1,0.98,1,2
1,s4_h1,1,0.993333,1,2
1,s4_h2,1,0.993333,1,2
1,s1_f3,1,0.993333,1,2
1,s1_h3,1,0.995,1,2
1,s1_h4,1,0.993333,1,2
1,s2_f3,1,0.953333,1,2
1,s2_h3,1,0.975,1,2
1,s2_h4,1,0.993333,1,2
1,s3_f3,1,0.986667,1,2
1,s3_h3,1,0.985,1,2
1,s3_h4,1,0.986667,1,2
1,s4_f3,1,0.993333,1,2
1,s4_h3,1,0.985,1,2
1,s4_h4,1,0.953333,1,2
1,s1_f4,1,1,1,2
1,s1_h5,1,0.975,1,2
1,s2_f4,1,1,1,2
1,s2_h5,1,0.985,1,2
1,s3_f4,1,0.96,1,2
1,s3_h5,1,0.995,1,2
1,s4_f4,1,1,1,2
1,s4_h5,1,0.985,1,2
1,s1_f5,1,0.99,1,2
1,s2_f5,1,0.99,1,2
1,s3_f5,1,0.99,1,2
1,s4_f5,1,0.99,1,2
1,s1_f1,1,0.996444,1,3
0,s1_f2,0,0,0,3
0.6,s1_h1,0.6,0.999556,0.654985,3
0,s1_h2,0,0,0,3
0.6,s2_f1,0.6,0.992889,0.654985,3
1,s2_f2,1,1,1,3
1,s2_h1,1,0.950222,1,3
1,s2_h2,1,0.973333,1,3
1,s3_f1,1,0.976444,1,3
1,s3_f2,1,1,1,3
1,s3_h1,1,0.990222,1,3
1,s3_h2,1,0.966667,1,3
1,s4_f1,1,0.996444,1,3
1,s4_f2,1,0.98,1,3
1,s4_h1,1,0.989778,1,3
1,s4_h2,1,0.993333,1,3
0.2,s1_f3,1,0,0.303265,3
0.6,s1_h3,0.6,0.995,0.654985,3
1,s1_h4,1,0.993333,1,3
1,s2_f3,1,0.966667,1,3
1,s2_h3,1,0.975,1,3
1,s2_h4,1,0.993333,1,3
1,s3_f3,1,0.973333,1,3
1,s3_h3,1,0.985,1,3
1,s3_h4,1,0.986667,1,3
1,s4_f3,1,0.993333,1,3
1,s4_h3,1,0.985,1,3
1,s4_h4,1,0.953333,1,3
1,s1_f4,1,1,1,3
1,s1_h5,1,0.972333,1,3
1,s2_f4,1,1,1,3
0.6,s2_h5,0.6,0.977,0.654985,3
0.6,s3_f4,0.6,0.949333,0.654985,3
1,s3_h5,1,0.992333,1,3
1,s4_f4,1,1,1,3
1,s4_h5,1,0.987667,1,3
0,s1_f5,1,0,0.303265,3
1,s2_f5,1,0.993333,1,3
1,s3_f5,1,0.993333,1,3
1,s4_f5,1,0.986667,1,3
1,s1_f1,1,1,1,4
0,s1_f2,0,0,0,4
1,s1_h1,1,0.993333,1,4
1,s1_h2,1,0.993333,1,4
1,s2_f1,1,1,1,4
1,s2_f2,1,1,1,4
1,s2_h1,1,0.946667,1,4
1,s2_h2,1,0.986667,1,4
1,s3_f1,1,0.98,1,4
1,s3_f2,1,1,1,4
1,s3_h1,1,0.986667,1,4
1,s3_h2,1,0.953333,1,4
1,s4_f1,1,1,1,4
1,s4_f2,1,0.98,1,4
1,s4_h1,1,0.993333,1,4
1,s4_h2,1,0.993333,1,4
1,s1_f3,1,0.993333,1,4
1,s1_h3,1,0.995,1,4
1,s1_h4,1,0.993333,1,4
1,s2_f3,1,0.953333,1,4
1,s2_h3,1,0.975,1,4
1,s2_h4,1,0.993333,1,4
1,s3_f3,1,0.986667,1,4
1,s3_h3,1,0.985,1,4
1,s3_h4,1,0.986667,1,4
1,s4_f3,1,0.993333,1,4
1,s4_h3,1,0.985,1,4
1,s4_h4,1,0.953333,1,4
1,s1_f4,1,1,1,4
1,s1_h5,1,0.963778,1,4
1,s2_f4,1,1,1,4
1,s2_h5,1,0.996222,1,4
0.4,s3_f4,0.6,0.544667,0.402192,4
0.6,s3_h5,0.6,0.992444,0.654985,4
1,s4_f4,1,1,1,4
1,s4_h5,1,0.996222,1,4
1,s1_f5,1,0.99,1,4
1,s2_f5,1,0.99,1,4
1,s3_f5,1,0.99,1,4
1,s4_f5,1,0.99,1,4
1,s1_f1,1,1,1,5
1,s1_f2,1,1,1,5
1,s1_h1,1,0.993333,1,5
1,s1_h2,1,0.993333,1,5
1,s2_f1,1,1,1,5
1,s2_f2,1,1,1,5
1,s2_h1,1,0.946667,1,5
1,s2_h2,1,0.986667,1,5
1,s3_f1,1,0.98,1,5
1,s3_f2,1,1,1,5
1,s3_h1,1,0.986667,1,5
1,s3_h2,1,0.953333,1,5
1,s4_f1,1,1,1,5
1,s4_f2,1,0.98,1,5
1,s4_h1,1,0.993333,1,5
1,s4_h2,1,0.993333,1,5
1,s1_f3,1,0.993333,1,5
1,s1_h3,1,0.986667,1,5
1,s1_h4,1,0.993333,1,5
