SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
h5,f5,1,0.5,0.333333,0.750669,0.5,0.5
h5,f5,1,0.5,0.333333,0.750669,0.5,0.5
f5,f2,1,0.5,1,0.0994279,0.5,0.5
f5,f3,1,0.5,0.333333,0.375065,0.5,0.5
f5,f4,1,0.5,0.333333,0.552963,0.5,0.5
h1,f2,1,0.5,0.5,0.556362,0.5,0.5
h1,f3,1,0.5,0.5,0.4744,0.5,0.5
h1,f4,1,0.5,0.5,0.212492,0.5,0.5
f5,f4,1,0.5,0.333333,0.552963,0.5,0.5
f5,f3,1,0.5,0.333333,0.375065,0.5,0.5
f5,f2,1,0.5,1,0.0994279,0.5,0.7
f5,f3,1,0.5,0.333333,0.375065,0.5,0.5
f5,f4,1,0.5,0.333333,0.552963,0.5,0.5
h1,f3,1,0.5,0.5,0.4744,0.5,0.5
h1,f4,1,0.5,0.5,0.212492,0.5,0.5
h5,f5,2,0.900291,0.333333,0.750669,0.5,0.85
f1,h5,2,0.899923,0.333333,0.119574,0.5,0.5
h3,h5,2,0.899923,1,0.334537,0.5,0.5
h1,f4,2,0.901027,0.5,0.212492,0.5,0.5
h1,h5,2,0.899923,0.5,0.228055,0.5,0.5
h5,f1,2,0.900291,0.333333,0.119574,0.5,0.5
h5,f4,2,0.901027,0.333333,0.793936,0.5,0.5
f4,f1,2,0.900291,0.5,0.163344,0.5,0.5
f4,f2,2,0.901027,0.5,0.292101,0.5,0.5
f4,h5,2,0.899923,0.5,0.793936,0.5,0.5
f1,f2,2,0.901027,0.666667,0.742268,0.5,0.5
f1,f4,2,0.901027,0.333333,0.163344,0.5,0.5
f1,h5,2,0.899923,0.333333,0.119574,0.5,0.5
h1,f1,2,0.900291,0,0.750855,0.5,0.5
h1,f2,2,0.901027,0.5,0.556362,0.5,0.66
h1,f4,2,0.901027,0.5,0.212492,0.5,0.5
h1,h5,2,0.899923,0.5,0.228055,0.5,0.7
h2,f3,3,0.94252,0.5,0.428662,0.5,0.5
h2,h3,3,0.941708,0,0.621867,0.5,0.5
h5,f3,3,0.94252,0.333333,0.517238,0.5,0.5
h5,h3,3,0.941708,0.666667,0.334537,0.5,0.5
f3,h3,3,0.941708,0.333333,0.805921,0.5,0.5
f4,f3,3,0.94252,1,0.634183,0.5,0.5
f4,h4,3,0.941708,0.5,0.801733,0.5,0.5
h3,f3,3,0.94252,0.5,0.805921,0.5,0.5
