SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
f1,h3,1,0.5,0.333333,0.659381,0.5,0.5
h2,h3,1,0.5,0,0.621867,0.5,0.5
f4,f3,1,0.5,1,0.634183,0.5,0.5
f4,h2,1,0.5,0,0.0635079,0.5,0.5
f4,h3,1,0.5,0.5,0.440104,0.5,0.5
f1,f3,1,0.5,0.333333,0.502559,0.5,0.5
f1,h2,1,0.5,0.333333,0.685799,0.5,0.5
f1,h3,1,0.5,0.333333,0.659381,0.5,0.5
f2,f3,1,0.5,0.25,0.657919,0.5,0.5
f2,h3,1,0.5,0.25,0.851998,0.5,0.5
f3,f4,1,0.5,0.666667,0.634183,0.5,0.5
f3,f5,1,0.5,0.333333,0.375065,0.5,0.5
f3,h3,1,0.5,0.333333,0.805921,0.5,0.5
f4,f3,1,0.5,1,0.634183,0.5,0.7
f4,f5,1,0.5,0.5,0.552963,0.5,0.5
f4,h3,1,0.5,0.5,0.440104,0.5,0.5
h2,f3,1,0.5,0.5,0.428662,0.5,0.5
h2,f5,1,0.5,0.5,0,0.5,0.5
h2,h3,1,0.5,0,0.621867,0.5,0.5
h3,h1,2,0.900291,0.5,0.550043,0.5,0.5
h3,f1,2,0.898138,0.5,0.659381,0.5,0.5
h3,f2,2,0.900291,0.5,0.851998,0.5,0.5
h3,h1,2,0.900291,0.5,0.550043,0.5,0.3
f1,f2,2,0.900291,0.666667,0.742268,0.5,0.5
f1,h1,2,0.900291,0,0.750855,0.5,0.5
h1,f1,2,0.898138,0,0.750855,0.5,0.5
h3,f1,2,0.898138,0.5,0.659381,0.5,0.5
h3,f2,2,0.900291,0.5,0.851998,0.5,0.7
h3,h1,2,0.900291,0.5,0.550043,0.5,0.3
h1,f1,2,0.898138,0,0.750855,0.5,0.34
h1,f2,2,0.900291,0.5,0.556362,0.5,0.5
h1,f3,3,0.94134,0.5,0.4744,0.5,0.5
h1,h2,3,0.942367,0.5,0.43937,0.5,0.5
h5,f3,3,0.94134,0.333333,0.517238,0.5,0.5
h5,h2,3,0.942367,0.666667,0,0.5,0.5
f2,h1,3,0.941708,0.25,0.556362,0.5,0.5
f2,h2,3,0.942367,0.25,0.768221,0.5,0.5
f4,h1,3,0.941708,0.5,0.212492,0.5,0.5
h3,f3,3,0.94134,0.5,0.805921,0.5,0.5
h3,h1,3,0.941708,0.5,0.550043,0.5,0.3
f3,h1,3,0.941708,0.333333,0.4744,0.5,0.5
f1,f2,3,0.941815,0.666667,0.742268,0.5,0.357143
f1,f3,3,0.94134,0.333333,0.502559,0.5,0.5
f1,h1,3,0.941708,0,0.750855,0.5,0.5
f1,h2,3,0.942367,0.333333,0.685799,0.5,0.7
h2,f2,4,0.966402,0.5,0.768221,0.5,0.5
f2,f3,4,0.965723,0.25,0.657919,0.5,0.5
f2,h2,4,0.966345,0.25,0.768221,0.5,0.7
f5,f2,4,0.966402,1,0.0994279,0.5,0.5
f5,f3,4,0.965723,0.333333,0.375065,0.5,0.5
f5,f4,4,0.966541,0.333333,0.552963,0.5,0.5
f5,h2,4,0.966345,0.333333,0,0.5,0.5
f1,f2,4,0.966402,0.666667,0.742268,0.5,0.357143
f1,f3,4,0.965723,0.333333,0.502559,0.5,0.5
f1,f4,4,0.966541,0.333333,0.163344,0.5,0.5
f1,f5,4,0.964343,0.666667,0.0983332,0.5,0.5
f1,h2,4,0.966345,0.333333,0.685799,0.5,0.85
f4,f2,4,0.966402,0.5,0.292101,0.5,0.5
