Label,NodeID,Recente,Ancienne,periode,label_experience
1.0,s1_f1,0.996398,0.5,2,0.7
1.0,s1_f2,0.693021,0.5,2,0.54
1.0,s1_h1,0.261524,0.5,2,0.38
1.0,s1_h2,0.998165,0.5,2,0.7
1.0,s2_f1,0.995343,0.5,2,0.7
1.0,s2_f2,0.999082,0.5,2,0.7
1.0,s2_h1,0.995412,0.5,2,0.7
1.0,s2_h2,0.261524,0.5,2,0.38
0.6,s3_f1,0.69676,0.5,2,0.54
1.0,s3_f2,0.999082,0.5,2,0.7
1.0,s3_h1,0.999082,0.5,2,0.7
0.0,s3_h2,0.999082,0.5,2,0.7
1.0,s4_f1,0.995343,0.5,2,0.7
1.0,s4_f2,0.998165,0.5,2,0.7
0.0,s4_h1,0.99633,0.5,2,0.7
1.0,s4_h2,0.999082,0.5,2,0.7
1.0,s1_f3,0.261524,0.5,2,0.3
0.4,s1_h3,0.479725,0.5,2,0.38
1.0,s1_h4,0.998165,0.5,2,0.7
1.0,s2_f3,0.995412,0.5,2,0.7
1.0,s2_h3,0.995664,0.5,2,0.7
1.0,s2_h4,0.99633,0.5,2,0.7
1.0,s3_f3,0.99633,0.5,2,0.7
1.0,s3_h3,0.998417,0.5,2,0.7
1.0,s3_h4,0.261524,0.5,2,0.38
1.0,s4_f3,0.999082,0.5,2,0.7
1.0,s4_h3,0.99883,0.5,2,0.7
1.0,s4_h4,0.998165,0.5,2,0.7
0.4,s1_f4,0.0,0.5,2,0.3
1.0,s1_h5,0.999082,0.5,2,0.7
1.0,s2_f4,0.997247,0.5,2,0.7
1.0,s2_h5,0.999082,0.5,2,0.7
1.0,s3_f4,1.0,0.5,2,0.7
1.0,s3_h5,0.998165,0.5,2,0.7
1.0,s4_f4,1.0,0.5,2,0.7
1.0,s4_h5,0.993577,0.5,2,0.7
1.0,s1_f5,0.998624,0.5,2,0.7
0.2,s2_f5,0.995871,0.5,2,0.7
1.0,s3_f5,0.998624,0.5,2,0.7
1.0,s4_f5,0.995871,0.5,2,0.7
0.6,s1_f1,0.994494,0.708108,3,0.8200000000000001
0.0,s1_f2,0.996559,0.580921,3,0.724
0.0,s1_h1,0.99633,0.400022,3,0.628
0.0,s1_h2,1.0,0.708849,3,0.8200000000000001
1.0,s2_f1,0.997247,0.707666,3,0.8200000000000001
1.0,s2_f2,0.997935,0.709233,3,0.8200000000000001
1.0,s2_h1,0.995412,0.707694,3,0.8200000000000001
1.0,s2_h2,1.0,0.400022,3,0.628
1.0,s3_f1,0.506106,0.582489,3,0.5640000000000001
1.0,s3_f2,0.997935,0.709233,3,0.8200000000000001
1.0,s3_h1,0.999082,0.709233,3,0.8200000000000001
1.0,s3_h2,0.0,0.709233,3,0.42
1.0,s4_f1,0.997247,0.707666,3,0.8200000000000001
1.0,s4_f2,0.999312,0.708849,3,0.8200000000000001
1.0,s4_h1,0.0,0.708079,3,0.42
1.0,s4_h2,0.997247,0.709233,3,0.8200000000000001
0.0,s1_f3,0.998624,0.400022,3,0.5800000000000001
0.0,s1_h3,0.300751,0.4915,3,0.388
1.0,s1_h4,1.0,0.708849,3,0.8200000000000001
1.0,s2_f3,0.995871,0.707694,3,0.8200000000000001
1.0,s2_h3,0.997247,0.7078,3,0.8200000000000001
0.6,s2_h4,0.994494,0.708079,3,0.8200000000000001
1.0,s3_f3,0.995871,0.708079,3,0.8200000000000001
1.0,s3_h3,1.0,0.708954,3,0.8200000000000001
1.0,s3_h4,1.0,0.400022,3,0.628
1.0,s4_f3,0.998624,0.709233,3,0.8200000000000001
1.0,s4_h3,0.997247,0.709127,3,0.8200000000000001
1.0,s4_h4,1.0,0.708849,3,0.8200000000000001
1.0,s1_f4,0.400285,0.290382,3,0.34
1.0,s1_h5,0.999082,0.709233,3,0.8200000000000001
1.0,s2_f4,0.998165,0.708464,3,0.8200000000000001
0.0,s2_h5,0.999082,0.709233,3,0.8200000000000001
0.0,s3_f4,0.999082,0.709618,3,0.8200000000000001
1.0,s3_h5,0.998165,0.708849,3,0.8200000000000001
1.0,s4_f4,0.999082,0.709618,3,0.8200000000000001
1.0,s4_h5,0.993577,0.706925,3,0.8200000000000001
0.0,s1_f5,0.997247,0.709041,3,0.8200000000000001
1.0,s2_f5,0.374638,0.707887,3,0.5
1.0,s3_f5,1.0,0.709041,3,0.8200000000000001
1.0,s4_f5,0.997247,0.707887,3,0.8200000000000001
1.0,s1_f1,0.691277,0.828171,4,0.732
0.0,s1_f2,0.0,0.755171,4,0.43439999999999995
0.0,s1_h1,0.0,0.650016,4,0.37679999999999997
1.0,s1_h2,0.0,0.83091,4,0.492
1.0,s2_f1,0.998165,0.829069,4,0.892
1.0,s2_f2,1.0,0.830268,4,0.892
1.0,s2_h1,0.995412,0.828316,4,0.892
1.0,s2_h2,0.997247,0.651555,4,0.7767999999999999
1.0,s3_f1,0.99633,0.550467,4,0.7384000000000001
1.0,s3_f2,1.0,0.830268,4,0.892
1.0,s3_h1,0.999082,0.830748,4,0.892
1.0,s3_h2,1.0,0.411897,4,0.652
1.0,s4_f1,0.998165,0.829069,4,0.892
1.0,s4_f2,0.997247,0.830621,4,0.892
1.0,s4_h1,0.99633,0.411227,4,0.652
1.0,s4_h2,1.0,0.829979,4,0.892
0.0,s1_f3,0.261524,0.650977,4,0.34800000000000003
1.0,s1_h3,0.0774968,0.411531,4,0.2328
1.0,s1_h4,1.0,0.83091,4,0.892
1.0,s2_f3,0.995412,0.828508,4,0.892
1.0,s2_h3,0.997247,0.829147,4,0.892
1.0,s2_h4,0.692195,0.828155,4,0.732
1.0,s3_f3,0.99633,0.828732,4,0.892
1.0,s3_h3,1.0,0.830971,4,0.892
1.0,s3_h4,1.0,0.651555,4,0.7767999999999999
1.0,s4_f3,0.999082,0.830556,4,0.892
0.4,s4_h3,0.997247,0.829918,4,0.892
1.0,s4_h4,1.0,0.83091,4,0.892
0.0,s1_f4,1.0,0.336457,4,0.6040000000000001
0.0,s1_h5,0.999082,0.830748,4,0.892
1.0,s2_f4,0.997247,0.829917,4,0.892
1.0,s2_h5,0.0,0.830748,4,0.492
1.0,s3_f4,0.0,0.830972,4,0.492
1.0,s3_h5,0.99633,0.83014,4,0.892
1.0,s4_f4,1.0,0.830972,4,0.892
1.0,s4_h5,0.995412,0.8271,4,0.892
0.0,s1_f5,0.994494,0.829867,4,0.492
1.0,s2_f5,0.997247,0.568177,4,0.7
1.0,s3_f5,0.997247,0.831021,4,0.892
1.0,s4_f5,0.994494,0.829197,4,0.892
1.0,s1_f1,0.995183,0.770781,5,0.8392
1.0,s1_f2,0.0,0.438577,5,0.26064
0.0,s1_h1,0.261524,0.377506,5,0.22607999999999998
1.0,s1_h2,0.998624,0.482563,5,0.6952
1.0,s2_f1,0.996559,0.89996,5,0.9352
1.0,s2_f2,1.0,0.901425,5,0.9352
1.0,s2_h1,0.995412,0.898369,5,0.9352
1.0,s2_h2,0.998624,0.796481,5,0.86608
1.0,s3_f1,0.997935,0.737388,5,0.84304
1.0,s3_f2,1.0,0.901425,5,0.9352
1.0,s3_h1,0.999082,0.90132,5,0.9352
1.0,s3_h2,0.998624,0.658451,5,0.7912
1.0,s4_f1,0.996559,0.89996,5,0.9352
1.0,s4_f2,0.997247,0.900477,5,0.9352
1.0,s4_h1,0.99633,0.656523,5,0.7912
1.0,s4_h2,0.998624,0.901258,5,0.9352
1.0,s1_f3,0.0,0.487705,5,0.2088
0.0,s1_h3,0.995412,0.271492,5,0.53968
1.0,s1_h4,1.0,0.901798,5,0.9352
1.0,s2_f3,0.995412,0.89848,5,0.9352
1.0,s2_h3,0.99633,0.899621,5,0.9352
1.0,s2_h4,0.994494,0.771156,5,0.8392
1.0,s3_f3,0.99633,0.898995,5,0.9352
1.0,s3_h3,0.999082,0.901834,5,0.9352
1.0,s3_h4,1.0,0.797635,5,0.86608
1.0,s4_f3,0.999082,0.901208,5,0.9352
1.0,s4_h3,0.410997,0.900068,5,0.6952
1.0,s4_h4,1.0,0.901798,5,0.9352
0.4,s1_f4,0.814764,0.614638,5,0.36240000000000006
1.0,s1_h5,0.261524,0.90132,5,0.5352
1.0,s2_f4,0.998165,0.900068,5,0.9352
1.0,s2_h5,0.999082,0.482469,5,0.6952
1.0,s3_f4,0.999082,0.482599,5,0.6952
1.0,s3_h5,0.99633,0.899813,5,0.9352
1.0,s4_f4,0.999082,0.901834,5,0.9352
1.0,s4_h5,0.995412,0.897662,5,0.9352
1.0,s1_f5,0.0,0.898885,5,0.29519999999999996
1.0,s2_f5,0.995412,0.748059,5,0.8200000000000001
1.0,s3_f5,0.999082,0.900709,5,0.9352
1.0,s4_f5,0.99633,0.898496,5,0.9352
1.0,s1_f1,0.995183,0.864858,6,0.90352
0.4,s1_f2,0.996559,0.25471,6,0.556384
1.0,s1_h1,0.0,0.328882,6,0.135648
1.0,s1_h2,0.998624,0.698914,6,0.8171200000000001
1.0,s2_f1,0.996559,0.940458,6,0.96112
1.0,s2_f2,0.997935,0.942751,6,0.96112
1.0,s2_h1,0.995412,0.939053,6,0.96112
0.0,s2_h2,0.998624,0.881227,6,0.919648
1.0,s3_f1,0.997935,0.846619,6,0.905824
1.0,s3_f2,0.997935,0.942751,6,0.96112
0.2,s3_h1,0.999082,0.942306,6,0.96112
1.0,s3_h2,0.998624,0.801064,6,0.8747199999999999
1.0,s4_f1,0.996559,0.940458,6,0.96112
1.0,s4_f2,0.999312,0.941046,6,0.96112
1.0,s4_h1,0.99633,0.798982,6,0.8747199999999999
1.0,s4_h2,0.998624,0.942077,6,0.96112
0.0,s1_f3,0.998624,0.283241,6,0.52528
1.0,s1_h3,0.0,0.574985,6,0.32380800000000004
1.0,s1_h4,1.0,0.942968,6,0.96112
1.0,s2_f3,0.995871,0.939118,6,0.96112
1.0,s2_h3,0.997247,0.940164,6,0.96112
1.0,s2_h4,0.994494,0.864787,6,0.90352
1.0,s3_f3,0.995871,0.939801,6,0.96112
1.0,s3_h3,1.0,0.942604,6,0.96112
1.0,s3_h4,1.0,0.882474,6,0.919648
1.0,s4_f3,0.998624,0.942241,6,0.96112
1.0,s4_h3,0.997247,0.695032,6,0.8171200000000001
1.0,s4_h4,1.0,0.942968,6,0.96112
0.6,s1_f4,0.526316,0.698538,6,0.37744000000000005
1.0,s1_h5,0.999082,0.633095,6,0.72112
1.0,s2_f4,0.998165,0.941194,6,0.96112
1.0,s2_h5,0.999082,0.699052,6,0.8171200000000001
1.0,s3_f4,0.999082,0.699127,6,0.8171200000000001
1.0,s3_h5,0.998165,0.940276,6,0.96112
1.0,s4_f4,0.999082,0.942604,6,0.96112
1.0,s4_h5,0.993577,0.938642,6,0.96112
0.6,s1_f5,0.998624,0.52204,6,0.57712
1.0,s2_f5,0.995871,0.851758,6,0.892
1.0,s3_f5,0.998624,0.941951,6,0.96112
1.0,s4_f5,0.995871,0.939511,6,0.96112
0.6,s1_f1,0.995183,0.919495,7,0.942112
1.0,s1_f2,0.285978,0.565719,7,0.4938304
1.0,s1_h1,0.997247,0.191003,7,0.4813888
1.0,s1_h2,0.998165,0.824563,7,0.8902720000000001
1.0,s2_f1,0.996559,0.963977,7,0.976672
1.0,s2_f2,0.999082,0.965887,7,0.976672
1.0,s2_h1,0.994494,0.962681,7,0.976672
1.0,s2_h2,0.261524,0.930444,7,0.5517888
1.0,s3_f1,0.997935,0.910056,7,0.9434944
0.6,s3_f2,0.999082,0.965887,7,0.976672
0.0,s3_h1,0.371335,0.966108,7,0.6566719999999999
1.0,s3_h2,0.999082,0.883888,7,0.924832
1.0,s4_f1,0.996559,0.963977,7,0.976672
1.0,s4_f2,0.998165,0.965473,7,0.976672
1.0,s4_h1,0.997247,0.881717,7,0.924832
1.0,s4_h2,0.999082,0.965783,7,0.976672
1.0,s1_f3,0.0,0.583155,7,0.31516799999999995
0.2,s1_h3,0.995871,0.333931,7,0.5942848000000001
0.0,s1_h4,1.0,0.966878,7,0.976672
1.0,s2_f3,0.995412,0.962911,7,0.976672
1.0,s2_h3,0.995871,0.964096,7,0.976672
1.0,s2_h4,0.994494,0.919165,7,0.942112
1.0,s3_f3,0.99633,0.963308,7,0.976672
1.0,s3_h3,0.998624,0.966666,7,0.976672
1.0,s3_h4,1.0,0.931745,7,0.9517888
1.0,s4_f3,0.999082,0.965878,7,0.976672
1.0,s4_h3,0.998624,0.821732,7,0.8902720000000001
1.0,s4_h4,1.0,0.966878,7,0.976672
1.0,s1_f4,0.698893,0.626336,7,0.466464
0.0,s1_h5,0.999082,0.78653,7,0.8326720000000001
1.0,s2_f4,0.996972,0.965078,7,0.976672
1.0,s2_h5,0.999082,0.824835,7,0.8902720000000001
0.2,s3_f4,0.999725,0.824879,7,0.8902720000000001
1.0,s3_h5,0.998165,0.964545,7,0.976672
1.0,s4_f4,0.999725,0.966282,7,0.976672
1.0,s4_h5,0.993577,0.961673,7,0.976672
1.0,s1_f5,0.697379,0.721841,7,0.5862719999999999
1.0,s2_f5,0.99711,0.912175,7,0.9352
1.0,s3_f5,0.997385,0.96571,7,0.976672
1.0,s4_f5,0.994632,0.963139,7,0.976672
0.0,s1_f1,0.691644,0.951226,8,0.8052672
0.0,s1_f2,0.99766,0.448442,8,0.69629824
1.0,s1_h1,1.0,0.529009,8,0.68883328
