Label,NodeID,knowledge,experiance,periode,label_experience,Label_final
0.0,s1_f1,0.0,0.5,1,0.5,0.125
0.4,s1_f2,0.322269,0.5,1,0.5,0.42500000000000004
1.0,s1_h1,0.995114,0.5,1,0.5,0.875
1.0,s1_h2,0.999297,0.5,1,0.5,0.875
1.0,s2_f1,0.997247,0.5,1,0.5,0.875
1.0,s2_f2,0.99633,0.5,1,0.5,0.875
1.0,s2_h1,0.996628,0.5,1,0.5,0.875
1.0,s2_h2,0.999297,0.5,1,0.5,0.875
1.0,s3_f1,0.997247,0.5,1,0.5,0.875
1.0,s3_f2,0.999082,0.5,1,0.5,0.875
0.2,s3_h1,0.478073,0.5,1,0.5,0.275
1.0,s3_h2,0.991038,0.5,1,0.5,0.875
1.0,s4_f1,1.0,0.5,1,0.5,0.875
1.0,s4_f2,0.995412,0.5,1,0.5,0.875
1.0,s4_h1,0.995114,0.5,1,0.5,0.875
0.6,s4_h2,0.701065,0.5,1,0.5,0.575
0.2,s1_f3,0.261524,0.5,1,0.5,0.275
1.0,s1_h3,0.99633,0.5,1,0.5,0.875
0.0,s1_h4,0.0,0.5,1,0.5,0.125
1.0,s2_f3,0.998165,0.5,1,0.5,0.875
1.0,s2_h3,0.998165,0.5,1,0.5,0.875
1.0,s2_h4,1.0,0.5,1,0.5,0.875
1.0,s3_f3,0.999082,0.5,1,0.5,0.875
1.0,s3_h3,0.998165,0.5,1,0.5,0.875
1.0,s3_h4,0.991742,0.5,1,0.5,0.875
1.0,s4_f3,0.999082,0.5,1,0.5,0.875
0.4,s4_h3,0.324104,0.5,1,0.5,0.42500000000000004
1.0,s4_h4,1.0,0.5,1,0.5,0.875
0.6,s1_f4,0.701065,0.5,1,0.5,0.575
1.0,s1_h5,0.999082,0.5,1,0.5,0.875
1.0,s2_f4,0.991038,0.5,1,0.5,0.875
1.0,s2_h5,0.998165,0.5,1,0.5,0.875
1.0,s3_f4,0.999297,0.5,1,0.5,0.875
1.0,s3_h5,0.999082,0.5,1,0.5,0.875
1.0,s4_f4,0.999297,0.5,1,0.5,0.875
0.2,s4_h5,0.474105,0.5,1,0.5,0.275
0.6,s1_f5,0.700201,0.5,1,0.5,0.575
1.0,s2_f5,0.997087,0.5,1,0.5,0.875
1.0,s3_f5,0.997408,0.5,1,0.5,0.875
1.0,s4_f5,0.997408,0.5,1,0.5,0.875
1.0,s1_f1,0.995871,0.290382,2,0.3,0.825
0.6,s1_f2,0.701096,0.425489,2,0.46,0.565
1.0,s1_h1,0.99633,0.707569,2,0.7,0.925
1.0,s1_h2,0.999082,0.709323,2,0.7,0.925
1.0,s2_f1,0.995871,0.708464,2,0.7,0.925
1.0,s2_f2,0.995871,0.708079,2,0.7,0.925
1.0,s2_h1,0.995412,0.708204,2,0.7,0.925
1.0,s2_h2,0.999082,0.709323,2,0.7,0.925
1.0,s3_f1,0.998624,0.708464,2,0.7,0.925
1.0,s3_f2,0.998624,0.709233,2,0.7,0.925
1.0,s3_h1,0.999082,0.490808,2,0.38,0.845
1.0,s3_h2,0.992659,0.705861,2,0.7,0.925
1.0,s4_f1,0.998624,0.709618,2,0.7,0.925
1.0,s4_f2,0.995871,0.707694,2,0.7,0.925
0.4,s4_h1,0.291002,0.707569,2,0.7,0.47500000000000003
1.0,s4_h2,0.998165,0.584294,2,0.54,0.885
1.0,s1_f3,0.993577,0.400022,2,0.38,0.845
1.0,s1_h3,0.996559,0.708079,2,0.7,0.925
1.0,s1_h4,0.997935,0.290382,2,0.3,0.825
1.0,s2_f3,0.998165,0.708849,2,0.7,0.925
1.0,s2_h3,0.997935,0.708849,2,0.7,0.925
1.0,s2_h4,0.996559,0.709618,2,0.7,0.925
1.0,s3_f3,0.999082,0.709233,2,0.7,0.925
1.0,s3_h3,0.997935,0.708849,2,0.7,0.925
1.0,s3_h4,0.995183,0.706156,2,0.7,0.925
1.0,s4_f3,0.999082,0.709233,2,0.7,0.925
1.0,s4_h3,0.999312,0.426258,2,0.46,0.865
1.0,s4_h4,0.996559,0.709618,2,0.7,0.925
1.0,s1_f4,0.999082,0.584294,2,0.54,0.885
1.0,s1_h5,0.999082,0.709233,2,0.7,0.925
1.0,s2_f4,0.995412,0.705861,2,0.7,0.925
1.0,s2_h5,0.998165,0.708849,2,0.7,0.925
0.4,s3_f4,0.424371,0.709323,2,0.7,0.47500000000000003
1.0,s3_h5,0.999082,0.709233,2,0.7,0.925
1.0,s4_f4,0.99633,0.709323,2,0.7,0.925
0.4,s4_h5,0.395238,0.489144,2,0.38,0.395
1.0,s1_f5,0.998165,0.583931,2,0.54,0.885
1.0,s2_f5,0.99633,0.708397,2,0.7,0.925
0.0,s3_f5,0.0904807,0.708531,2,0.7,0.175
1.0,s4_f5,0.998165,0.708531,2,0.7,0.925
1.0,s1_f1,0.995871,0.586148,3,0.5800000000000001,0.895
0.0,s1_f2,0.261524,0.541033,3,0.516,0.129
0.0,s1_h1,0.0,0.828628,3,0.8200000000000001,0.20500000000000002
0.0,s1_h2,0.261524,0.8308,3,0.8200000000000001,0.20500000000000002
1.0,s2_f1,0.995871,0.828955,3,0.8200000000000001,0.9550000000000001
1.0,s2_f2,0.99633,0.828732,3,0.8200000000000001,0.9550000000000001
