SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
h1,f5,1,0.5,0.5,0.269286,0.5,0.5
h1,h4,1,0.5,0.5,0.367107,0.5,0.5
h1,h4,1,0.5,0.5,0.367107,0.5,0.5
h1,f5,1,0.5,0.5,0.269286,0.5,0.5
h1,f2,1,0.5,0.5,0.556362,0.5,0.5
h1,h3,1,0.5,0.5,0.550043,0.5,0.5
h1,h5,1,0.5,0.5,0.228055,0.5,0.5
h1,f2,2,0.900291,0.5,0.556362,0.5,0.66
h1,f3,2,0.900291,0.5,0.4744,0.5,0.5
f1,f3,2,0.900291,0.333333,0.502559,0.5,0.5
h4,h1,2,0.900291,0.5,0.367107,0.5,0.5
f2,h1,2,0.900291,0.25,0.556362,0.5,0.5
f2,h4,2,0.900291,0.25,0.490369,0.5,0.5
f1,f3,2,0.900291,0.333333,0.502559,0.5,0.4
f1,f4,2,0.901027,0.333333,0.163344,0.5,0.5
f1,f5,2,0.900291,0.666667,0.0983332,0.5,0.5
f1,h4,2,0.900291,0.333333,0.350769,0.5,0.5
f2,f5,3,0.940007,0.75,0.0994279,0.5,0.5
f2,h3,3,0.940026,0.25,0.851998,0.5,0.5
f2,h4,3,0.94134,0.25,0.490369,0.5,0.5
h3,f2,3,0.942444,0.5,0.851998,0.5,0.5
h3,f5,3,0.940007,0,0.225157,0.5,0.5
h3,h4,3,0.94134,1,0.638371,0.5,0.5
h5,f2,3,0.942444,0.333333,0.191639,0.5,0.5
h5,f5,3,0.940007,0.333333,0.750669,0.5,0.5
h5,h3,3,0.940026,0.666667,0.334537,0.5,0.5
h1,f2,4,0.966573,0.5,0.556362,0.5,0.78
h1,h3,4,0.964751,0.5,0.550043,0.5,0.5
f4,f2,4,0.966573,0.5,0.292101,0.5,0.5
f4,h2,4,0.966347,0,0.0635079,0.5,0.5
f4,h3,4,0.964751,0.5,0.440104,0.5,0.5
f4,h3,4,0.964751,0.5,0.440104,0.5,0.5
f4,h2,4,0.966347,0,0.0635079,0.5,0.5
f4,f2,4,0.966573,0.5,0.292101,0.5,0.7
h5,f2,4,0.966573,0.333333,0.191639,0.5,0.5
h5,h2,4,0.966347,0.666667,0,0.5,0.5
h5,h3,4,0.964751,0.666667,0.334537,0.5,0.5
h5,h2,4,0.966347,0.666667,0,0.5,0.5
h5,f2,4,0.966573,0.333333,0.191639,0.5,0.5
h5,f5,4,0.963268,0.333333,0.750669,0.5,0.38
h3,f2,4,0.966573,0.5,0.851998,0.5,0.5
h3,f5,4,0.963268,0,0.225157,0.5,0.5
f4,f2,4,0.966573,0.5,0.292101,0.5,0.7
f4,f3,4,0.963553,1,0.634183,0.5,0.5
f4,f5,4,0.963268,0.5,0.552963,0.5,0.5
h3,f5,4,0.963268,0,0.225157,0.5,0.5
h3,f3,4,0.963553,0.5,0.805921,0.5,0.5
h3,f3,5,0.975993,0.5,0.805921,0.5,0.7
h3,h2,5,0.979719,0,0.621867,0.5,0.5
f3,f1,5,0.979731,0.333333,0.502559,0.5,0.5
f3,h2,5,0.979719,0.333333,0.428662,0.5,0.5
f4,f3,5,0.975993,1,0.634183,0.5,0.5
f4,h2,5,0.979719,0,0.0635079,0.5,0.5
h5,h2,5,0.979719,0.666667,0,0.5,0.7
f3,f5,5,0.979337,0.333333,0.375065,0.5,0.5
h5,f3,5,0.975993,0.333333,0.517238,0.5,0.5
h5,h1,5,0.980457,0.333333,0.228055,0.5,0.5
h1,f3,6,0.982231,0.5,0.4744,0.5,0.5
h1,f3,6,0.982231,0.5,0.4744,0.5,0.5
h1,f2,6,0.987914,0.5,0.556362,0.5,0.86
h1,f4,6,0.988741,0.5,0.212492,0.5,0.5
h1,f5,6,0.987615,0.5,0.269286,0.5,0.5
h1,h3,6,0.985379,0.5,0.550043,0.5,0.5
h1,h5,6,0.988664,0.5,0.228055,0.5,0.5
f2,f3,6,0.982231,0.25,0.657919,0.5,0.5
f2,f4,6,0.988741,0.25,0.292101,0.5,0.5
f2,f5,6,0.987615,0.75,0.0994279,0.5,0.5
f2,h3,6,0.985379,0.25,0.851998,0.5,0.7
f2,h5,6,0.988664,0.25,0.191639,0.5,0.5
h1,f2,6,0.987914,0.5,0.556362,0.5,0.86
h1,h3,6,0.985379,0.5,0.550043,0.5,0.5
h1,f3,6,0.982231,0.5,0.4744,0.5,0.5
h1,f5,6,0.987615,0.5,0.269286,0.5,0.5
h1,h5,6,0.988664,0.5,0.228055,0.5,0.5
h1,f4,6,0.988741,0.5,0.212492,0.5,0.5
f1,f2,6,0.987914,0.666667,0.742268,0.5,0.5
f1,f3,6,0.982231,0.333333,0.502559,0.5,0.4
f1,f4,6,0.988741,0.333333,0.163344,0.5,0.5
f1,h3,6,0.985379,0.333333,0.659381,0.5,0.5
f1,h5,6,0.988664,0.333333,0.119574,0.5,0.5
f2,h3,6,0.985379,0.25,0.851998,0.5,0.7
f2,f3,6,0.982231,0.25,0.657919,0.5,0.5
f2,f4,6,0.988741,0.25,0.292101,0.5,0.5
f2,h5,6,0.988664,0.25,0.191639,0.5,0.5
f3,h2,7,0.993221,0.333333,0.428662,0.5,0.5
f3,f1,7,0.99246,0.333333,0.502559,0.5,0.433333
f3,h3,7,0.989845,0.333333,0.805921,0.5,0.5
h5,f1,7,0.99246,0.333333,0.119574,0.5,0.5
h5,f2,7,0.99267,0.333333,0.191639,0.595,0.5
h5,f3,7,0.987898,0.333333,0.517238,0.5,0.7
h1,f1,7,0.99246,0,0.750855,0.5,0.5
h1,f2,7,0.99267,0.5,0.556362,0.595,0.535
h1,f3,7,0.987898,0.5,0.4744,0.5,0.34
h3,f1,7,0.99246,0.5,0.659381,0.5,0.5
h3,f3,7,0.987898,0.5,0.805921,0.5,0.75
